,0,1,2,3,4,5,6,7,8,9,10
176,0.394,0.765,6.0,-4.2,0.0,0.0409,0.00696,0.874,0.0761,0.0368,140.062
177,0.618,0.981,8.0,-3.398,0.0,0.064,0.0042,0.83,0.214,0.426,139.993
178,0.536,0.979,6.0,-2.683,1.0,0.216,0.00661,0.834,0.0537,0.696,170.073
179,0.779,0.965,11.0,-1.042,1.0,0.0996,0.00318,0.000397,0.907,0.643,129.988
180,0.432,0.77,6.0,-5.57,0.0,0.111,0.0779,0.385,0.121,0.129,146.104
181,0.445,0.866,2.0,-4.451,1.0,0.182,0.00122,0.0,0.0225,0.263,149.896
182,0.532,0.949,0.0,-3.902,1.0,0.0559,0.00168,0.923,0.309,0.616,149.962
183,0.78,0.911,1.0,-4.79,1.0,0.0453,0.0168,0.738,0.417,0.388,153.992
184,0.421,0.748,9.0,-8.644,0.0,0.0358,0.485,0.518,0.501,0.0397,139.849
185,0.546,0.85,10.0,-3.366,0.0,0.0386,0.0346,0.68,0.112,0.302,161.996
186,0.773,0.92,6.0,-3.75,0.0,0.193,0.0923,0.354,0.0639,0.354,156.011
187,0.572,0.978,4.0,-3.827,1.0,0.08,0.0223,0.794,0.143,0.368,98.021
188,0.448,0.92,10.0,-4.028,0.0,0.338,0.0004,0.458,0.321,0.206,171.945
189,0.82,0.829,1.0,-6.433,1.0,0.273,0.112,0.0,0.0973,0.375,116.983
190,0.453,0.803,1.0,-7.17,1.0,0.0774,0.000396,0.666,0.376,0.197,179.906
191,0.772,0.769,1.0,-5.135,1.0,0.0465,0.00233,0.724,0.0802,0.211,135.976
192,0.593,0.56,3.0,-7.059,0.0,0.0447,0.683,0.109,0.104,0.363,113.895
193,0.701,0.895,2.0,-7.102,1.0,0.0657,0.123,0.874,0.141,0.267,134.98
194,0.618,0.981,8.0,-3.398,0.0,0.064,0.0042,0.83,0.214,0.426,139.993
195,0.573,0.932,9.0,-5.158,0.0,0.05,0.00334,0.744,0.112,0.161,168.008
196,0.289,0.404,7.0,-12.815,0.0,0.0352,0.683,0.854,0.328,0.0285,92.873
197,0.361,0.727,7.0,-8.48,1.0,0.0519,0.181,0.71,0.198,0.0368,104.38
198,0.813,0.937,8.0,-1.619,1.0,0.233,0.225,0.479,0.273,0.375,143.961
199,0.578,0.602,8.0,-6.841,0.0,0.0356,0.00872,0.868,0.209,0.0992,145.995
200,0.416,0.594,1.0,-6.836,1.0,0.0661,0.0137,1.24e-06,0.573,0.114,135.985
201,0.578,0.59,9.0,-6.162,0.0,0.0431,0.00721,0.00711,0.077,0.253,128.092
202,0.551,0.681,10.0,-4.873,0.0,0.0401,0.0251,0.0,0.481,0.227,94.052
203,0.606,0.829,1.0,-3.455,0.0,0.036,0.00172,5.43e-05,0.276,0.384,140.033
204,0.653,0.656,8.0,-6.27,1.0,0.0441,0.0271,0.0,0.0897,0.511,161.964
205,0.612,0.668,5.0,-4.869,1.0,0.0326,0.0106,3.04e-05,0.484,0.285,134.995
206,0.563,0.871,6.0,-5.261,0.0,0.0568,0.0614,0.000149,0.101,0.425,82.009
207,0.581,0.865,11.0,-5.888,0.0,0.0895,0.00816,0.00024,0.386,0.293,174.034
208,0.549,0.702,1.0,-4.809,1.0,0.309,0.0549,0.467,0.34,0.447,160.048
209,0.506,0.849,11.0,-6.987,0.0,0.191,0.00146,0.0543,0.418,0.287,150.072
210,0.506,0.681,8.0,-7.519,1.0,0.107,0.0555,0.883,0.132,0.105,154.894
211,0.503,0.683,0.0,-7.061,0.0,0.0614,0.00383,5.01e-05,0.115,0.29,137.02
212,0.508,0.779,0.0,-5.763,1.0,0.0333,0.00389,0.02,0.398,0.109,145.02
213,0.741,0.841,8.0,-5.538,0.0,0.0416,0.00667,0.903,0.479,0.499,144.994
214,0.623,0.907,7.0,-2.653,0.0,0.132,0.0191,0.0477,0.297,0.422,148.088
215,0.537,0.707,2.0,-5.718,0.0,0.033,0.000635,3.36e-06,0.131,0.187,138.055
216,0.75,0.862,1.0,-6.179,0.0,0.0895,0.00177,0.0432,0.132,0.72,150.041
217,0.454,0.635,7.0,-6.218,0.0,0.0292,0.00305,0.0,0.301,0.157,142.04
218,0.667,0.526,6.0,-6.821,1.0,0.0497,5.04e-05,0.0015,0.0346,0.464,118.922
219,0.55,0.655,0.0,-8.373,0.0,0.067,0.0294,0.000485,0.111,0.348,137.056
220,0.56,0.555,2.0,-7.089,1.0,0.0344,0.00431,0.0216,0.189,0.105,140.007
221,0.578,0.59,9.0,-6.162,0.0,0.0431,0.00721,0.00711,0.077,0.253,128.092
222,0.591,0.828,5.0,-4.155,0.0,0.04,0.00927,0.0,0.328,0.3,154.965
223,0.413,0.77,2.0,-4.506,0.0,0.0666,0.00474,0.0,0.0996,0.151,137.953
224,0.747,0.743,11.0,-3.262,1.0,0.0587,0.035,0.374,0.0811,0.211,145.958
225,0.62,0.949,11.0,-4.945,0.0,0.351,0.00122,0.33,0.065,0.339,164.064
226,0.686,0.753,7.0,-7.82,0.0,0.0837,0.147,0.0,0.278,0.618,77.539
227,0.492,0.678,8.0,-5.619,0.0,0.0398,0.314,0.000165,0.0966,0.201,131.851
228,0.584,0.579,0.0,-4.307,0.0,0.0339,0.00168,0.000992,0.201,0.0883,135.088
229,0.652,0.721,10.0,-5.152,0.0,0.126,0.0422,0.0,0.0591,0.76,103.99
230,0.377,0.745,8.0,-5.059,0.0,0.0696,0.0219,5.16e-05,0.185,0.344,76.526
231,0.404,0.677,2.0,-5.58,0.0,0.0384,0.113,0.508,0.0546,0.165,82.022
232,0.516,0.92,9.0,-4.37,0.0,0.0942,0.00804,0.614,0.801,0.332,145.027
233,0.263,0.926,1.0,-4.334,1.0,0.0614,0.00194,0.147,0.154,0.532,164.848
234,0.478,0.785,6.0,-5.437,0.0,0.159,0.0157,0.0657,0.0695,0.532,140.977
235,0.692,0.921,2.0,-4.654,0.0,0.0632,0.000272,0.405,0.0506,0.17,150.04
236,0.298,0.519,0.0,-9.804,0.0,0.0322,0.0101,1.65e-05,0.329,0.114,102.483
237,0.535,0.779,6.0,-4.934,0.0,0.0848,0.00118,5.99e-06,0.233,0.545,129.044
238,0.607,0.741,10.0,-4.485,0.0,0.267,0.000923,0.587,0.57,0.609,190.384
