,0,1,2,3,4,5,6,7,8,9,10
141,0.706,0.485,8.0,-9.671,1.0,0.331,0.337,0.0,0.122,0.144,115.414
142,0.297,0.506,2.0,-6.609,1.0,0.033,0.000372,0.000225,0.104,0.11,140.716
143,0.412,0.879,1.0,-4.056,1.0,0.034,1.27e-05,0.0,0.164,0.42,157.926
144,0.369,0.35,7.0,-9.425,1.0,0.0315,0.75,0.000105,0.138,0.398,82.136
145,0.646,0.431,2.0,-9.287,1.0,0.029,0.149,0.000428,0.108,0.248,145.855
146,0.474,0.387,2.0,-14.416,0.0,0.0305,0.642,0.00557,0.143,0.546,118.488
147,0.676,0.923,4.0,-2.849,1.0,0.0508,0.0562,0.0,0.147,0.725,101.025
148,0.437,0.958,8.0,-3.398,1.0,0.0994,0.0004,0.0275,0.0834,0.357,131.56
149,0.299,0.787,0.0,-7.93,0.0,0.069,0.14,0.0,0.292,0.716,94.798
150,0.566,0.713,6.0,-4.25,1.0,0.0417,0.645,0.0,0.114,0.807,169.864
151,0.715,0.584,8.0,-8.231,1.0,0.0296,0.432,1.41e-06,0.095,0.61,90.987
152,0.717,0.796,6.0,-3.677,1.0,0.0303,0.0189,8.94e-05,0.19,0.942,105.017
153,0.8,0.759,11.0,-5.398,1.0,0.0378,0.655,0.0,0.0897,0.821,129.979
154,0.667,0.381,3.0,-7.494,1.0,0.0294,0.458,0.0,0.116,0.199,135.979
155,0.722,0.593,1.0,-3.953,1.0,0.0269,0.017,1.42e-06,0.067,0.326,98.982
156,0.686,0.576,1.0,-6.632,1.0,0.0284,0.443,1.7e-05,0.212,0.72,83.971
157,0.634,0.78,8.0,-4.928,1.0,0.0477,0.161,0.0,0.112,0.93,101.066
158,0.61,0.857,8.0,-5.267,0.0,0.0877,0.0424,2e-06,0.128,0.373,125.838
159,0.64,0.196,4.0,-11.478,1.0,0.0267,0.819,3.63e-05,0.0978,0.301,143.919
160,0.453,0.412,1.0,-7.539,1.0,0.0276,0.24,0.00021,0.101,0.282,75.752
161,0.684,0.715,6.0,-6.132,1.0,0.0336,0.159,0.0,0.181,0.563,96.018
162,0.726,0.595,11.0,-6.846,1.0,0.0393,0.148,0.000433,0.106,0.696,115.0
163,0.556,0.655,3.0,-5.909,1.0,0.031,0.46,0.0,0.12,0.334,183.981
164,0.4,0.558,3.0,-7.393,1.0,0.038,0.163,3.76e-06,0.0879,0.376,81.271
165,0.845,0.701,8.0,-6.025,1.0,0.0504,0.208,0.0,0.166,0.892,145.892
166,0.635,0.434,6.0,-7.986,1.0,0.0298,0.171,1.1e-06,0.106,0.171,139.976
167,0.553,0.619,3.0,-7.101,1.0,0.0308,0.474,0.0,0.123,0.374,183.91
168,0.697,0.82,1.0,-5.108,1.0,0.0575,0.0888,0.0,0.143,0.655,104.022
169,0.528,0.398,3.0,-7.187,1.0,0.0341,0.533,9.6e-06,0.106,0.404,76.111
170,0.622,0.519,3.0,-7.971,1.0,0.0269,0.137,0.0,0.0954,0.496,90.082
171,0.756,0.796,1.0,-5.047,1.0,0.039,0.363,1.56e-06,0.0496,0.817,92.008
172,0.403,0.932,8.0,-3.205,1.0,0.0548,0.000375,0.00153,0.0898,0.716,171.048
173,0.55,0.402,3.0,-7.195,1.0,0.0339,0.551,1.38e-05,0.105,0.428,76.105
174,0.664,0.38,3.0,-7.45,1.0,0.0299,0.447,0.0,0.117,0.188,135.844
175,0.533,0.533,0.0,-8.266,1.0,0.0324,0.0915,0.0,0.0972,0.531,159.907
176,0.615,0.614,3.0,-5.233,1.0,0.0331,0.287,0.0,0.122,0.517,153.783
177,0.63,0.559,6.0,-5.826,1.0,0.0253,0.307,2.95e-06,0.116,0.293,131.851
178,0.623,0.797,5.0,-5.331,1.0,0.0297,0.0232,8.26e-06,0.259,0.601,119.966
179,0.647,0.582,1.0,-6.662,1.0,0.0282,0.422,2.17e-05,0.106,0.704,83.893
